date,time,sender,content
12/10/24,10:12 am,Rahul,ap jo changes hai bata dena me karduga fir shamko apke server pe daldege fir ap listing karna
12/10/24,10:12 am,Rahul,or whatsapp vala hai wo direct server vale pe add karduga
13/10/24,11:28 am,Smitox B2b All Electronic,Mere server me change ke saat
13/10/24,2:41 pm,Smitox B2b All Electronic,"1:Pincode
2:Whatsapp
3:Whislist logo
4:One row two pics
5:Cart list whist list out
6:Customer edit address pincode not added
7:Whislist aur cartoon me kuch add karte he tho zero aata he kitna product add he wo show hona chaiye
8:Pincode order placing
9:Mobile friendly thoda image top se niche rakho aur cut ho raha he image
10:User list transfer with address pincode
11:server change"
14/10/24,4:39 pm,Rahul,Ha server ka hi kar raha hu
23/11/24,5:19 am,Rahul,Server
25/11/24,12:35 pm,Rahul,Agar sab features proper lage toh server lelena fir usko live kar k deduga
25/11/24,11:59 pm,Rahul,Server mila hai
27/11/24,11:26 pm,Rahul,Server pe upload kar raha hu
27/11/24,11:32 pm,Rahul,Server pe dalke
27/11/24,11:36 pm,Rahul,Admin me dikhe ga server pe upload kar ne k bad
07/12/24,12:43 am,Rahul,Kl me apko server ka batauga
07/12/24,12:44 am,Rahul,Server se live kardege
20/12/24,12:14 pm,Rahul,Server??
20/12/24,1:10 pm,Rahul,Server??
02/01/25,12:24 am,Smitox B2b All Electronic,Server change Kiya phele
02/01/25,2:17 pm,Rahul,server pe upload kardia hu
07/01/25,1:30 pm,Smitox B2b All Electronic,"Platform: Digital Ocean
Processor: 1 AMD vCPU
RAM: 2GB
Storage: 50GB Nvme SSD
Price: $14/month + 18% GST (To billed monthly directly by Digital Ocean to client)
One time setup We might require some help from developer)
Monthly server maintenance - 1.5k/month - To be paid 12months in advance <This message was edited>"
05/02/25,12:08 pm,Smitox B2b All Electronic,Kya bol rahe ho abhi tumne kha switch kardo server wale ko bolke mene changes kiya he asa bolna server wale ko
23/03/25,12:25 am,Rahul,main reason wohi hai server and app ka connection related
23/03/25,12:58 am,Rahul,"The root cause is most likely a DNS resolution failure on the Android device, preventing the Flutter app from connecting to the server due to misconfigured network settings or DNS servers, especially given Cloudflare's involvement. By configuring the device to use a reliable DNS server like Google Public DNS, the issue should be resolved. This approach aligns with previous experiences and ensures smooth COD order processing in the app."
23/03/25,12:59 am,Rahul,"jo cloud flare hai wo images ko alag alag server par rakhta hai jab app se communicate karta hai tab wo server se proper connect nahi kar pata .
pay karte waqt order details bhi use hota hai"
23/03/25,1:08 am,Rahul,koi koi user ko isliye issue araha tha kyunki dns me  alag alag server cloud flare  store karta hai and wo distribute karta hai jise bandwidth kam ata hai.but kuch server ka dns mobile se alag hota hai.hamare phone me google ka rehta hai but server ka alag ho sakta hai so
10/10/25,8:36 pm,Smitox B2b All Electronic,"Advance
Rate listing update
Order se rate ko alag
Regular
Server
Order number search aur name issue"
25/12/25,6:03 pm,Smitox B2b All Electronic,Server ka aur app not6
25/12/25,6:40 pm,Smitox B2b All Electronic,Server change chaiye he urgent
03/01/26,6:59 pm,Smitox B2b All Electronic,Nhi phele tum server aur app notification aur api delivery ka dalke do
05/01/26,11:59 am,Smitox B2b All Electronic,Server ka
17/01/26,6:18 pm,Rahul,Notification and server dono change bhi krdia hu
